interval_start_time,CAISO_system_load,temp_forecast_dayahead_bakersfield,temp_forecast_dayahead_los_angeles,temp_forecast_dayahead_san_francisco,dewpoint_forecast_dayahead_bakersfield,dewpoint_forecast_dayahead_los_angeles,dewpoint_forecast_dayahead_san_francisco
2020-01-01 00:00:00-08:00,21599,45.7,56,51,42.3,32.3,48
2020-01-01 01:00:00-08:00,20879,45,55,51,42,33,48
2020-01-01 02:00:00-08:00,20351,44.3,54,50.7,41.3,33,48
2020-01-01 03:00:00-08:00,20064,43.7,53,50.3,40.7,33,48
2020-01-01 04:00:00-08:00,20016,43,52,50,40,33,48
2020-01-01 05:00:00-08:00,20342,42,52,50.3,40,34,48
2020-01-01 06:00:00-08:00,20734,41,52,50.7,40,35,48
2020-01-01 07:00:00-08:00,20725,40,52,51,40,36,48
2020-01-01 08:00:00-08:00,20446,41.7,54.7,51.7,40,35.7,48.7
2020-01-01 09:00:00-08:00,19853,43.3,57.3,52.3,40,35.3,49.3
2020-01-01 10:00:00-08:00,19277,45,60,53,40,35,50
2020-01-01 11:00:00-08:00,18946,47.3,61,53.7,40.7,37,50
2020-01-01 12:00:00-08:00,18821,49.7,62,54.3,41.3,39,50
2020-01-01 13:00:00-08:00,19158,52,63,55,42,41,50
2020-01-01 14:00:00-08:00,20181,52.3,62,55,43,44,50.7
2020-01-01 15:00:00-08:00,21302,52.7,61,55,44,47,51.3
2020-01-01 16:00:00-08:00,22778,55,62,56,45,50,52
2020-01-01 17:00:00-08:00,24688,53.3,61,55.3,45.3,50,52
2020-01-01 18:00:00-08:00,24972,51.7,60,54.7,45.7,50,52
2020-01-01 19:00:00-08:00,24748,50,59,54,46,50,52
2020-01-01 20:00:00-08:00,24206,49.7,59,53.7,45.3,50.3,51.7
2020-01-01 21:00:00-08:00,23246,49.3,59,53.3,44.7,50.7,51.3
2020-01-01 22:00:00-08:00,21926,49,59,53,44,51,51
2020-01-01 23:00:00-08:00,20721,48,58,53,44,51.3,50.3
2020-01-02 00:00:00-08:00,19951,47,57,53,44,51.7,49.7
2020-01-02 01:00:00-08:00,19424,46,56,53,44,52,49
2020-01-02 02:00:00-08:00,19117,45.7,55.3,52.3,42.7,51.3,48.7
2020-01-02 03:00:00-08:00,19234,45.3,54.7,51.7,41.3,50.7,48.3
2020-01-02 04:00:00-08:00,19993,45,54,51,40,50,48
2020-01-02 05:00:00-08:00,21295,44.3,53.3,51,41,50,47.7
2020-01-02 06:00:00-08:00,23122,43.7,52.7,51,42,50,47.3
2020-01-02 07:00:00-08:00,24141,43,52,51,43,50,47
2020-01-02 08:00:00-08:00,24369,45,53.3,52,42.3,49,46.7
2020-01-02 09:00:00-08:00,23644,47,54.7,53,41.7,48,46.3
2020-01-02 10:00:00-08:00,22753,49,56,54,41,47,46
2020-01-02 11:00:00-08:00,22630,51.3,57.7,55,41.3,47,45.7
2020-01-02 12:00:00-08:00,22578,53.7,59.3,56,41.7,47,45.3
2020-01-02 13:00:00-08:00,22717,56,61,57,42,47,45
2020-01-02 14:00:00-08:00,23255,56.3,60.3,56.7,43,48.7,45.7
2020-01-02 15:00:00-08:00,23685,56.7,59.7,56.3,44,50.3,46.3
2020-01-02 16:00:00-08:00,26749,56,62,54,45,52,47
2020-01-02 17:00:00-08:00,27355,54.3,61,53.3,44.7,52,47
2020-01-02 18:00:00-08:00,27473,52.7,60,52.7,44.3,52,47
2020-01-02 19:00:00-08:00,26985,51,59,52,44,52,47
2020-01-02 20:00:00-08:00,26192,50.3,58.7,51.7,44,52.3,47
2020-01-02 21:00:00-08:00,25044,49.7,58.3,51.3,44,52.7,47
2020-01-02 22:00:00-08:00,23480,49,58,51,44,53,47
2020-01-02 23:00:00-08:00,21952,48,57.3,51,44,52,46.7
2020-01-03 00:00:00-08:00,20827,47,56.7,51,44,51,46.3
2020-01-03 01:00:00-08:00,20065,46,56,51,44,50,46
2020-01-03 02:00:00-08:00,19736,45.3,55.3,50.3,42.7,49,45
2020-01-03 03:00:00-08:00,19815,44.7,54.7,49.7,41.3,48,44
2020-01-03 04:00:00-08:00,20547,44,54,49,40,47,43
2020-01-03 05:00:00-08:00,22035,42.7,53.7,49,40.3,46.3,43.7
2020-01-03 06:00:00-08:00,23793,41.3,53.3,49,40.7,45.7,44.3
2020-01-03 07:00:00-08:00,24531,40,53,49,41,45,45
2020-01-03 08:00:00-08:00,24215,42,56,50.3,41,44,46
2020-01-03 09:00:00-08:00,23385,44,59,51.7,41,43,47
2020-01-03 10:00:00-08:00,22689,46,62,53,41,42,48
2020-01-03 11:00:00-08:00,22336,48.7,63,53.7,42.7,43,48.3
2020-01-03 12:00:00-08:00,22090,51.3,64,54.3,44.3,44,48.7
2020-01-03 13:00:00-08:00,22220,54,65,55,46,45,49
2020-01-03 14:00:00-08:00,22613,54.7,64,54.7,47,48.3,49
2020-01-03 15:00:00-08:00,23518,55.3,63,54.3,48,51.7,49
2020-01-03 16:00:00-08:00,25206,58,63,54,49,55,49
2020-01-03 17:00:00-08:00,26961,56,62,53.7,49.7,56,49.3
2020-01-03 18:00:00-08:00,26975,54,61,53.3,50.3,57,49.7
2020-01-03 19:00:00-08:00,26460,52,60,53,51,58,50
2020-01-03 20:00:00-08:00,25797,51,59.3,53,49,56.3,48.7
2020-01-03 21:00:00-08:00,24850,50,58.7,53,47,54.7,47.3
2020-01-03 22:00:00-08:00,23441,49,58,53,45,53,46
2020-01-03 23:00:00-08:00,22026,48,57.3,52.7,44.3,53,46
2020-01-04 00:00:00-08:00,20950,47,56.7,52.3,43.7,53,46
2020-01-04 01:00:00-08:00,20145,46,56,52,43,53,46
2020-01-04 02:00:00-08:00,19673,45.3,55.3,51.7,42,50.7,45.3
2020-01-04 03:00:00-08:00,19538,44.7,54.7,51.3,41,48.3,44.7
2020-01-04 04:00:00-08:00,19825,44,54,51,40,46,44
2020-01-04 05:00:00-08:00,20515,43.3,53.3,51.3,40.3,46.3,45
2020-01-04 06:00:00-08:00,21407,42.7,52.7,51.7,40.7,46.7,46
2020-01-04 07:00:00-08:00,21784,42,52,52,41,47,47
2020-01-04 08:00:00-08:00,21621,45,53.7,52.7,41.7,46.3,47
2020-01-04 09:00:00-08:00,21007,48,55.3,53.3,42.3,45.7,47
2020-01-04 10:00:00-08:00,20480,51,57,54,43,45,47
2020-01-04 11:00:00-08:00,19981,53.3,58,54.3,43.7,46,46.7
2020-01-04 12:00:00-08:00,19889,55.7,59,54.7,44.3,47,46.3
2020-01-04 13:00:00-08:00,20281,58,60,55,45,48,46
2020-01-04 14:00:00-08:00,20699,58,59.3,54.7,44,50.3,46.7
2020-01-04 15:00:00-08:00,21575,58,58.7,54.3,43,52.7,47.3
2020-01-04 16:00:00-08:00,23256,58,59,52,42,55,48
2020-01-04 17:00:00-08:00,25239,55.7,58,51.7,43,55.3,48
2020-01-04 18:00:00-08:00,25423,53.3,57,51.3,44,55.7,48
2020-01-04 19:00:00-08:00,24981,51,56,51,45,56,48
2020-01-04 20:00:00-08:00,24579,50.3,56,51,43,54.7,47
2020-01-04 21:00:00-08:00,23808,49.7,56,51,41,53.3,46
2020-01-04 22:00:00-08:00,22589,49,56,51,39,52,45
2020-01-04 23:00:00-08:00,21388,48.3,55.7,51,38.7,51.7,44.3
2020-01-05 00:00:00-08:00,20364,47.7,55.3,51,38.3,51.3,43.7
2020-01-05 01:00:00-08:00,19675,47,55,51,38,51,43
2020-01-05 02:00:00-08:00,19466,46.3,54.3,50.3,38.7,50,43
2020-01-05 03:00:00-08:00,19300,45.7,53.7,49.7,39.3,49,43
2020-01-05 04:00:00-08:00,19493,45,53,49,40,48,43
2020-01-05 05:00:00-08:00,19968,44.3,52.3,49,40.3,47.3,43
2020-01-05 06:00:00-08:00,20485,43.7,51.7,49,40.7,46.7,43
2020-01-05 07:00:00-08:00,20867,43,51,49,41,46,43
2020-01-05 08:00:00-08:00,20808,43.7,52.7,50,42,44.3,42.3
2020-01-05 09:00:00-08:00,20346,44.3,54.3,51,43,42.7,41.7
2020-01-05 10:00:00-08:00,19895,45,56,52,44,41,41
2020-01-05 11:00:00-08:00,19500,46,57,52.7,44.7,41.3,41.3
2020-01-05 12:00:00-08:00,19416,47,58,53.3,45.3,41.7,41.7
2020-01-05 13:00:00-08:00,19569,48,59,54,46,42,42
2020-01-05 14:00:00-08:00,20016,48.3,58.7,54,45.7,43.7,42.7
2020-01-05 15:00:00-08:00,21118,48.7,58.3,54,45.3,45.3,43.3
2020-01-05 16:00:00-08:00,23200,49,58,54,45,47,44
2020-01-05 17:00:00-08:00,25485,48,57.3,52.7,44.7,45.7,44.7
2020-01-05 18:00:00-08:00,25906,47,56.7,51.3,44.3,44.3,45.3
2020-01-05 19:00:00-08:00,25592,46,56,50,44,43,46
2020-01-05 20:00:00-08:00,24957,46,56,50,43.7,44.3,45.7
